municipio,codigo,area_km2,pop_2019,densidade_demog,IDHM_2010,PIB_pc_2017
Ponte Serrada,4213401,560.731,11593,19.54,0.693,19543.57
Porto Belo,4213500,93.673,21388,171.77,0.76,46556.77
Porto União,4213609,848.779,35398,39.62,0.786,19967.54
Pouso Redondo,4213708,356.539,17453,41.21,0.72,30698.9
Praia Grande,4213807,284.36,7319,25.58,0.718,21104.28
Presidente Castello Branco,4213906,65.433,1568,26.29,0.77,28517.51
Presidente Getúlio,4214003,297.16,17471,50.59,0.759,36814.88
Presidente Nereu,4214102,224.748,2287,10.12,0.737,23921.18
Princesa,4214151,85.598,2924,32.01,0.706,23030.68
Quilombo,4214201,278.983,9887,36.57,0.73,34596.81
Rancho Queimado,4214300,286.461,2878,9.6,0.753,35864.02
Rio das Antas,4214409,314.913,6205,19.32,0.697,28317.21
Rio do Campo,4214508,502.095,5940,12.23,0.729,26958.59
Rio do Oeste,4214607,245.057,7489,28.61,0.754,26086.09
Rio dos Cedros,4214706,555.473,11676,18.56,0.729,27137.8
Rio do Sul,4214805,260.817,71061,235.05,0.802,37165.06
Rio Fortuna,4214904,302.39,4611,14.68,0.806,51596.12
Rio Negrinho,4215000,907.42,42302,43.92,0.738,25989.31
Rio Rufino,4215059,282.571,2483,8.62,0.653,20142.27
Riqueza,4215075,191.061,4598,25.2,0.714,21394.86
Rodeio,4215109,129.001,11551,84.06,0.754,23836.77
Romelândia,4215208,223.333,4786,24.58,0.692,16384.6
Salete,4215307,177.887,7642,41.09,0.744,23666.2
Saltinho,4215356,156.568,3781,25.3,0.654,18631.33
Salto Veloso,4215406,104.531,4718,40.94,0.784,36857.43
Sangão,4215455,82.984,12678,125.46,0.7,22941.01
Santa Cecília,4215505,1145.845,16830,13.75,0.698,25103.36
Santa Helena,4215554,81.004,2223,29.16,0.727,28456.53
Santa Rosa de Lima,4215604,203.218,2142,10.22,0.757,22561.42
Santa Rosa do Sul,4215653,150.299,8358,53.33,0.705,16352.86
Santa Terezinha,4215679,715.551,8787,12.26,0.669,21806.09
Santa Terezinha do Progresso,4215687,119.653,2428,24.38,0.682,19342.6
Santiago do Sul,4215695,73.335,1260,19.84,0.728,24512.3
Santo Amaro da Imperatriz,4215703,344.235,23245,57.62,0.781,33332.32
São Bernardino,4215752,149.891,2336,18.48,0.677,23620.78
São Bento do Sul,4215802,495.772,84507,149.11,0.782,36126.71
São Bonifácio,4215901,461.438,2838,6.53,0.731,21318.1
São Carlos,4216008,162.12,11281,63.8,0.769,30543.63
São Cristóvão do Sul,4216057,345.903,5549,14.28,0.665,27031.82
São Domingos,4216107,367.525,9445,24.68,0.765,32563.82
São Francisco do Sul,4216206,493.266,52721,85.27,0.762,78766.76
São João do Oeste,4216255,163.747,6381,36.96,0.761,33793.7
São João Batista,4216305,200.765,37424,118.8,0.74,24532.34
São João do Itaperiú,4216354,151.885,3733,22.69,0.738,44969.36
São João do Sul,4216404,184.375,7297,38.19,0.695,25987.74
São Joaquim,4216503,1888.634,26952,13.11,0.687,32219.5
São José,4216602,150.499,246586,1376.78,0.809,42262.21
São José do Cedro,4216701,280.76,13829,48.69,0.731,28018.17
São José do Cerrito,4216800,948.714,8295,9.81,0.636,26541.76
São Lourenço do Oeste,4216909,356.193,24076,60.45,0.749,35419.61
São Ludgero,4217006,106.765,13410,102.11,0.755,45063.06
São Martinho,4217105,224.566,3180,14.33,0.742,23347.39
São Miguel da Boa Vista,4217154,72.755,1820,26.66,0.71,18422.43
São Miguel do Oeste,4217204,234.202,40482,155.12,0.801,36420.03
São Pedro de Alcântara,4217253,139.196,5823,33.6,0.734,12692.1
Saudades,4217303,205.781,9745,43.64,0.755,33593.91
Schroeder,4217402,165.237,21365,93.17,0.769,23824.67
Seara,4217501,309.627,17541,54.39,0.779,46370.69
